Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Date
1999,Qtr 3,1,16,United States,Piper,Piper Pa 32,off martha's vineyard massachusetts,Private,0.0,3.0,3.0,1999-01-16
1999,Qtr 3,1,23,Unknown,De Havilland,De Havilland Canada Dhc 7,near orito colombia,Army U.S. - Military,0.0,7.0,7.0,1999-01-23
1999,Qtr 3,1,23,Unknown,Boeing,Boeing B 747Ja8966,tokyo japan,Airways Nippon All,0.0,1.0,517.0,1999-01-23
1999,Qtr 3,1,24,Unknown,Embraer,Embraer 110P1 Bandeirantedq Afn,nasevou village fiji,Fiji Air,0.0,17.0,17.0,1999-01-24
1999,Qtr 3,1,7,Unknown,Dornier,Dornier 228 201D4,santo antao cape,Airlines Verde IslandsTACV-Cabo Verde,0.0,18.0,18.0,1999-01-07
1999,Qtr 3,1,22,China,McDonnell Douglas,Mcdonnell Douglas Md 11B,hong kong china,(Taiwan) Airlines China,0.0,3.0,315.0,1999-01-22
1999,Qtr 3,1,24,Unknown,McDonnell Douglas,Mcdonnell Douglas Md 90,hualian taiwan,Air Uni,0.0,1.0,96.0,1999-01-24
1999,Qtr 3,1,26,Unknown,Yakovlev,Yakovlev Yak 40Uk,turtkul uzbekistan,Airways Uzbekistan,0.0,2.0,33.0,1999-01-26
1999,Qtr 3,1,31,Unknown,Boeing,Boeing B 737,buenos aires argentina,Lineas Aereas Privadas Argentinas           LAPA,2.0,63.0,103.0,1999-01-31
1999,Qtr 3,1,5,Unknown,Hawker,Hawker Siddeley Hs 748,near kathmandu nepal,Air Necon,0.0,15.0,15.0,1999-01-05
1999,Qtr 3,1,14,Brazil,Embraer,Embraer 110 Bandeirantept Odk,belelm brazil,Aéreo Táxi Jet Norte,0.0,2.0,2.0,1999-01-14
1999,Qtr 3,1,14,Unknown,Dassault,Dassault Falcon 900Bsx Ech,bucharest romania,Government Greek,0.0,7.0,13.0,1999-01-14
1999,Qtr 3,1,14,Spain,Boeing,Boeing 757 204G,girona spain,Airways Britannia,0.0,1.0,245.0,1999-01-14
1999,Qtr 3,1,17,Unknown,Lockheed,Lockheed C 130A Hercules3610,mt. hidalgo mexico,Force Air Mexican - Military,0.0,5.0,5.0,1999-01-17
1999,Qtr 4,1,2,Unknown,Bell 214St,Bell 214St Helicoptern704H,dhahran saudi,Company Associated ArabiaAramco,0.0,12.0,20.0,1999-01-02
1999,Qtr 4,1,24,Unknown,IAI,Arava 201Ev 8012,san carlos venezuela,Army Venezuelan - Military,0.0,6.0,6.0,1999-01-24
1999,Qtr 4,1,25,Unknown,Learjet,Gates Learjet 35N47Ba,aberdeen south,charter DakotaPrivate,0.0,6.0,6.0,1999-01-25
1999,Qtr 4,1,31,United States,Boeing,Boeing B 767,off nantucket island massachusetts,Egypt,0.0,217.0,217.0,1999-01-31
1999,Qtr 4,1,9,Unknown,McDonnell Douglas,Mcdonnell Douglas Dc 9,near uruapan mexico,TAESA,0.0,18.0,18.0,1999-01-09
1999,Qtr 4,1,12,Unknown,Aerospatiale,Aerospatiale Alenia Atr 42F,near pristina kosovo,charter U.N. - Fly Si,0.0,24.0,24.0,1999-01-12
1999,Qtr 4,1,5,Unknown,Ilyushin,Ilyushin 114Tuk 91004,moscow russia,Corporation Production Aircraft Tashkent,0.0,5.0,7.0,1999-01-05
1999,Qtr 4,1,7,Unknown,LET,Let 410Uvprp C,near bayombang philippines,Spirit Asian,0.0,17.0,17.0,1999-01-07
1999,Qtr 4,1,10,Unknown,Lockheed,Lockheed C 130H63,kuwait city kuwait,Force Air U.S. - Military,0.0,3.0,94.0,1999-01-10
1999,Qtr 4,1,11,Portugal,British,British Aerospace Aptcs Tgm,sao jorge azores,(Portugal)SATA,0.0,35.0,35.0,1999-01-11
1999,Qtr 4,1,21,Unknown,McDonnell Douglas,Mcdonnell Douglas Dc 10,guatemala city guatemala,Aviacon de Cubana,2.0,16.0,314.0,1999-01-21
1999,Qtr 4,1,22,Unknown,Boeing,Boeing 747 2B5Fhl,great hallingbury united,Air KingdomKorean,0.0,4.0,4.0,1999-01-22
1999,Qtr 4,1,24,India,Airbus,Airbus A300B2 101Vt,amritsar india,Afghanistan         Kandahar / Indian Airlines,0.0,1.0,189.0,1999-01-24
1999,Qtr 4,1,25,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter9N,near simara nepal,Airways Skyline,0.0,10.0,10.0,1999-01-25
1999,Qtr 4,1,25,Unknown,Yakovlev,Yakovlev Yak 42Dcu,bejuma venezuela,Aviacion de Cubana,0.0,22.0,22.0,1999-01-25
1999,Qtr 4,1,29,Unknown,Antonov,Antonov 283C Jji,near zonguldak turkey,Aviacion de Guineana Ecuato,0.0,6.0,6.0,1999-01-29
2000,Qtr 1,1,5,Unknown,Embraer,Embraer 110P1A Bandeirante5N Axl,abuja nigeria,Airways Express Skypower,1.0,1.0,16.0,2000-01-05
2000,Qtr 1,1,10,Unknown,Saab,Saab 340Bhb Akk,niederhasli switzerland,Crossair,0.0,10.0,10.0,2000-01-10
2000,Qtr 1,1,13,Unknown,Short Brothers,Shorts 360 300Hb,off marsa el-brega libya,Avisto,0.0,22.0,41.0,2000-01-13
2000,Qtr 1,1,15,Unknown,LET,Let 410Uvp Eys,san jose costa,RicaTACA,0.0,5.0,20.0,2000-01-15
2000,Qtr 1,1,30,Unknown,Airbus,Airbusa310 3045Y,off abidjan ivory,Airways CoastKenya,0.0,169.0,179.0,2000-01-30
2000,Qtr 1,1,31,United States,McDonnell Douglas,Mcdonnell Douglas Md 83N963As,off point mugu california,Airlines Alaska,0.0,88.0,88.0,2000-01-31
2000,Qtr 1,1,2,Unknown,Lockheed,Lockheed C 130 Hercules,tehran iran,Force Air Iran of Republic Islamic - Military,0.0,8.0,8.0,2000-01-02
2000,Qtr 1,1,16,United States,McDonnell Douglas,Mcdonnell Douglas Dc 8,sacramento california,Worldwide Emery,0.0,3.0,3.0,2000-01-16
2000,Qtr 1,1,5,United States,Boeing,Boeing B 737,burbank calilfornia,Airlines Southwest,0.0,0.0,142.0,2000-01-05
2000,Qtr 1,1,9,Unknown,Yakovlev,Yakovlev Yak 40Ra,moscow russia,Airlines Vologodskiye,0.0,9.0,9.0,2000-01-09
2000,Qtr 1,1,17,Unknown,Douglas,Douglas C 47A,ennadai lake canada,Services Air North Points,0.0,2.0,2.0,2000-01-17
2000,Qtr 1,1,17,Unknown,De Havilland,De Havilland Canada Dhc 6 Twin Otter 300Hp,near kuna yala panama,Aeroperlas,0.0,10.0,10.0,2000-01-17
2000,Qtr 1,1,22,Spain,Casa,Casa 212 De Aviocar 200Tm,herreira spain,Aire del Ejército - Military,0.0,7.0,7.0,2000-01-22
2000,Qtr 1,1,24,Unknown,Antonov,Antonov An 12 (Freighter)Ra,kadirana sri,Cabs LankaSky,2.0,6.0,8.0,2000-01-24
2000,Qtr 1,1,25,Unknown,Antonov,Antonov An 32D2,huambo angola,Uralex,0.0,3.0,33.0,2000-01-25
2000,Qtr 1,1,30,Unknown,Antonov,Antonov An 26Ur,near anuradhapura sri,Force Air Lankan Sri - LankaMilitary,0.0,40.0,40.0,2000-01-30
2000,Qtr 2,1,5,United States,Lear jet,Learjet 35An86Be,marianna florida,Bankair,0.0,3.0,3.0,2000-01-05
2000,Qtr 2,1,19,Unknown,Antonov,Antonov An 8Tl,pepa  -,Airlines Centrafricain,0.0,24.0,24.0,2000-01-19
2000,Qtr 2,1,19,Unknown,Boeing,Boeing B 737,samal island philippines,Philippines Air,0.0,131.0,131.0,2000-01-19
